DATAFLOW,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,REVENUE_CODE,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),UGA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,11.39206602,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MLI,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,19.54889067,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MLI,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,18.69332034,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MLI,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,17.23889061,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MLI,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,20.38208321,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MLI,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,19.00670632,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MDA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,31.51332388,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MDA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,30.31701114,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MDA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,30.03679578,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MDA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,29.42337006,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MDA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,29.53033034,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,11.54953875,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,10.19006494,A,0,TOTALTAX,1,_Z
