DATAFLOW,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,REVENUE_CODE,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MLI,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,19.54889067,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MLT,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,28.74159311,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MRT,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,15.13305564,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MUS,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,20.36007737,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MDA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,31.51332388,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MAR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,30.42346355,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MOZ,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,19.33553086,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),NAM,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,31.10518567,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),NIC,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,27.61129981,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),NER,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,7.164929984,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),PAN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,11.31368442,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),PRY,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,15.75633268,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),PER,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,16.26472301,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),RWA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,16.00683674,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),LCA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,21.28006673,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SEN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,19.30632214,A,0,TOTALTAX,1,_Z
