tax_name,tax_name_english,english_explanation,revenue_eur,revenue_pct_gdp,source_for_data,notes
Hundesteuer,Dog tax,Eurostat National Tax Lists line classified as ESA code D59D. Economic function: consumption.,430000000,0.009988,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D59D; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Jagd- und Fischereisteuer,Hunt tax and Fishing tax,Eurostat National Tax Lists line classified as ESA code D59D. Economic function: consumption.,7000000,0.000163,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D59D; DETAILS C03; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Verwaltungsgebühren von privaten Haushalten,,Eurostat National Tax Lists line classified as ESA code D59F. Economic function: capital/stock of wealth.,597000000,0.013867,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D59F; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Rundfunkbeitrag der privaten Haushalte,Tax on radio and TV,Eurostat National Tax Lists line classified as ESA code D59F. Economic function: consumption.,7610000000,0.176759,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D59F; DETAILS C03; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Erbschaftsteuer,Inheritance tax,Eurostat National Tax Lists line classified as ESA code D91A. Economic function: capital/stock of wealth. Environmental/property tag: other property.,9991000000,0.232063,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D91A; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Tatsächliche Pflichtsozialbeiträge der Arbeitgeber,Compulsory employers' actual social contributions,Eurostat National Tax Lists line classified as ESA code D611C.,302299000000,7.021555,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D611C; DETAILS _T; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
unterstellte Sozialbeiträge,Employers' imputed social contributions,Eurostat National Tax Lists line classified as ESA code D612.,48142000000,1.118203,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D612; DETAILS _T; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Tatsächliche Pflichtsozialbeiträge der Arbeitnehmer,Compulsory employees' actual social contributions,Eurostat National Tax Lists line classified as ESA code D613CE.,280081000000,6.505493,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D613CE; DETAILS _T; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Tatsächliche Pflichtsozialbeiträge der Selbständigen,Compulsory actual social contributions by the self-employed (1),Eurostat National Tax Lists line classified as ESA code D613CS.,11725000000,0.272339,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D613CS; DETAILS _T; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Tatsächliche Pflichtsozialbeiträge der Nichterwerbstätigen,Compulsory actual social contributions by the non-employed (1),Eurostat National Tax Lists line classified as ESA code D613CN.,106139000000,2.465310,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D613CN; DETAILS _T; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Tatsächliche freiwillige Sozialbeiträge der privaten Haushalte,Voluntary households' actual social contributions,Eurostat National Tax Lists line classified as ESA code D613V.,8165000000,0.189650,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D613V; DETAILS _T; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
